month,rank,char,opp,score
202502,36,A.K.I.,KEN,5.053
202502,36,A.K.I.,JURI,4.982
202502,36,A.K.I.,JAMIE,5.130
202502,36,A.K.I.,ZANGIEF,5.131
202502,36,A.K.I.,ED,5.365
202502,36,A.K.I.,RYU,5.102
202502,36,A.K.I.,AKUMA,5.042
202502,36,M. BISON,MAI,4.929
202502,36,M. BISON,DHALSIM,5.865
202502,36,M. BISON,E. HONDA,4.516
202502,36,M. BISON,KIMBERLY,4.808
202502,36,M. BISON,JP,5.613
202502,36,M. BISON,RASHID,5.181
202502,36,M. BISON,DEE JAY,4.930
202502,36,M. BISON,A.K.I.,5.171
202502,36,M. BISON,BLANKA,4.984
202502,36,M. BISON,LUKE,5.007
202502,36,M. BISON,GUILE,5.476
202502,36,M. BISON,LILY,5.025
202502,36,M. BISON,MANON,4.811
202502,36,M. BISON,TERRY,4.886
202502,36,M. BISON,CHUN-LI,5.254
202502,36,M. BISON,MARISA,4.927
202502,36,M. BISON,CAMMY,4.985
202502,36,M. BISON,KEN,4.904
202502,36,M. BISON,JURI,5.059
202502,36,M. BISON,JAMIE,4.777
202502,36,M. BISON,ZANGIEF,4.519
202502,36,M. BISON,ED,5.077
202502,36,M. BISON,RYU,5.109
202502,36,M. BISON,AKUMA,5.255
202502,36,BLANKA,MAI,4.600
202502,36,BLANKA,DHALSIM,5.277
202502,36,BLANKA,E. HONDA,3.946
202502,36,BLANKA,KIMBERLY,5.452
202502,36,BLANKA,JP,5.002
202502,36,BLANKA,RASHID,4.856
202502,36,BLANKA,DEE JAY,4.632
202502,36,BLANKA,A.K.I.,4.858
202502,36,BLANKA,M. BISON,5.049
202502,36,BLANKA,LUKE,4.973
202502,36,BLANKA,GUILE,4.502
202502,36,BLANKA,LILY,5.657
202502,36,BLANKA,MANON,5.206
202502,36,BLANKA,TERRY,4.878
202502,36,BLANKA,CHUN-LI,4.906
202502,36,BLANKA,MARISA,5.329
202502,36,BLANKA,CAMMY,5.671
202502,36,BLANKA,KEN,4.959
202502,36,BLANKA,JURI,5.089
202502,36,BLANKA,JAMIE,5.263
202502,36,BLANKA,ZANGIEF,5.422
202502,36,BLANKA,ED,5.417
202502,36,BLANKA,RYU,4.917
202502,36,BLANKA,AKUMA,5.001
202502,36,LUKE,MAI,4.742
202502,36,LUKE,DHALSIM,4.688
202502,36,LUKE,E. HONDA,4.815
202502,36,LUKE,KIMBERLY,4.747
202502,36,LUKE,JP,4.926
202502,36,LUKE,RASHID,4.977
202502,36,LUKE,DEE JAY,5.194
202502,36,LUKE,A.K.I.,4.952
202502,36,LUKE,M. BISON,5.014
202502,36,LUKE,BLANKA,5.030
202502,36,LUKE,GUILE,4.939
202502,36,LUKE,LILY,4.997
202502,36,LUKE,MANON,5.152
202502,36,LUKE,TERRY,5.106
202502,36,LUKE,CHUN-LI,4.792
202502,36,LUKE,MARISA,4.988
202502,36,LUKE,CAMMY,5.064
202502,36,LUKE,KEN,5.066
202502,36,LUKE,JURI,5.099
202502,36,LUKE,JAMIE,5.052
202502,36,LUKE,ZANGIEF,5.176
202502,36,LUKE,ED,5.037
202502,36,LUKE,RYU,5.147
202502,36,LUKE,AKUMA,4.995
202502,36,GUILE,MAI,4.778
202502,36,GUILE,DHALSIM,5.087
202502,36,GUILE,E. HONDA,4.754
202502,36,GUILE,KIMBERLY,4.867
202502,36,GUILE,JP,4.054
202502,36,GUILE,RASHID,4.869
202502,36,GUILE,DEE JAY,5.036
202502,36,GUILE,A.K.I.,5.192
202502,36,GUILE,M. BISON,4.530
202502,36,GUILE,BLANKA,5.476
202502,36,GUILE,LUKE,5.081
202502,36,GUILE,LILY,4.770
202502,36,GUILE,MANON,4.836
202502,36,GUILE,TERRY,5.039
202502,36,GUILE,CHUN-LI,4.880
202502,36,GUILE,MARISA,4.551
202502,36,GUILE,CAMMY,4.669
202502,36,GUILE,KEN,5.411
202502,36,GUILE,JURI,5.267
202502,36,GUILE,JAMIE,5.386
202502,36,GUILE,ZANGIEF,4.885
202502,36,GUILE,ED,5.145
202502,36,GUILE,RYU,5.069
202502,36,GUILE,AKUMA,5.339
202502,36,LILY,MAI,4.998
202502,36,LILY,DHALSIM,3.963
202502,36,LILY,E. HONDA,4.456
202502,36,LILY,KIMBERLY,4.563
202502,36,LILY,JP,4.274
202502,36,LILY,RASHID,4.497
202502,36,LILY,DEE JAY,5.167
202502,36,LILY,A.K.I.,4.845
202502,36,LILY,M. BISON,4.979
202502,36,LILY,BLANKA,4.311
202502,36,LILY,LUKE,4.988
202502,36,LILY,GUILE,5.229
202502,36,LILY,MANON,5.055
202502,36,LILY,TERRY,4.574
202502,36,LILY,CHUN-LI,5.128
202502,36,LILY,MARISA,5.324
202502,36,LILY,CAMMY,5.138
202502,36,LILY,KEN,5.051
202502,36,LILY,JURI,5.055
202502,36,LILY,JAMIE,5.095
202502,36,LILY,ZANGIEF,5.576
202502,36,LILY,ED,5.035
202502,36,LILY,RYU,5.051
202502,36,LILY,AKUMA,5.091
202502,36,MANON,MAI,4.782
202502,36,MANON,DHALSIM,4.544
202502,36,MANON,E. HONDA,5.064
202502,36,MANON,KIMBERLY,4.988
202502,36,MANON,JP,4.665
202502,36,MANON,RASHID,4.996
202502,36,MANON,DEE JAY,5.147
202502,36,MANON,A.K.I.,5.038
202502,36,MANON,M. BISON,5.213
202502,36,MANON,BLANKA,4.806
202502,36,MANON,LUKE,4.854
202502,36,MANON,GUILE,5.187
202502,36,MANON,LILY,4.988
202502,36,MANON,TERRY,5.112
202502,36,MANON,CHUN-LI,5.033
202502,36,MANON,MARISA,4.998
202502,36,MANON,CAMMY,5.217
202502,36,MANON,KEN,4.961
202502,36,MANON,JURI,5.019
202502,36,MANON,JAMIE,4.945
202502,36,MANON,ZANGIEF,5.357
202502,36,MANON,ED,4.747
202502,36,MANON,RYU,5.073
202502,36,MANON,AKUMA,4.960
202502,36,TERRY,MAI,4.721
202502,36,TERRY,DHALSIM,5.261
202502,36,TERRY,E. HONDA,4.805
